time,ultrasonic,pressure
22077203,109.18,1023.00
22083603,109.35,1023.00
22091373,109.14,1023.00
22097082,109.17,1023.00
22102112,109.30,1023.00
22110640,109.51,1022.00
22117775,109.36,1023.00
22124876,109.40,1022.00
22128503,109.53,1023.00
22134903,109.53,1022.00
22142005,109.31,1022.00
22150494,109.32,1023.00
22158264,109.43,1023.00
22166753,109.34,1023.00
22174573,109.52,1023.00
22181658,109.46,1023.00
22188761,109.62,1022.00
22194459,109.68,1023.00
22202246,109.45,1023.00
22208670,109.74,1023.00
22215756,109.60,1023.00
22222869,109.68,1023.00
22229270,109.66,1023.00
22237750,109.48,1022.00
22245536,109.65,1023.00
22254025,109.55,1023.00
22262487,109.50,1023.00
22268185,109.55,1023.00
22275270,109.62,1023.00
22281671,109.52,1023.00
22288756,109.46,1023.00
22295859,109.74,1023.00
22301575,109.81,1023.00
22307257,109.61,1022.00
22312955,109.69,1023.00
22316397,109.51,1023.00
22324218,109.72,1023.00
22330602,109.67,1023.00
22339102,109.73,1023.00
22345487,109.76,1023.00
22353959,109.79,1023.00
22358288,109.82,1023.00
22363986,109.62,1022.00
22367429,110.04,1023.00
22374498,109.76,1023.00
22380237,109.82,1023.00
22386627,109.70,1023.00
22394397,109.79,1023.00
22400113,109.56,1022.00
22405853,109.91,1023.00
22412254,109.87,1023.00
22417267,109.80,1023.00
22422281,109.83,1023.00
22427312,109.93,1023.00
22433045,109.87,1023.00
22440141,110.05,1023.00
22445156,110.03,1023.00
22450872,109.78,1023.00
22456570,109.77,1023.00
22461601,109.90,1023.00
22468019,109.82,1023.00
22475840,109.99,1023.00
22484346,109.97,1023.00
22490080,109.97,1023.00
22498586,110.13,1023.00
22503601,109.89,1023.00
22509317,110.04,1023.00
22516424,109.87,1022.00
22522124,110.15,1023.00
22524196,110.10,1021.00
22531300,110.02,1023.00
22537758,110.01,1020.00
22544861,109.84,1023.00
22551289,110.11,1023.00
22554733,110.08,1023.00
22563247,110.11,1022.00
22568945,110.09,1022.00
22576049,110.11,1022.00
22583169,110.09,1023.00
22588867,110.04,1023.00
22596688,110.07,1023.00
22600816,109.92,1023.00
22605848,110.13,1023.00
22615022,110.11,1023.00
22625601,110.20,1023.00
22630632,110.15,1022.00
22635663,110.23,1023.00
22642070,110.12,1023.00
22649172,110.06,1022.00
22654906,110.02,1023.00
22660633,110.19,1023.00
22663391,110.02,1023.00
22667738,110.28,1023.00
22672735,110.11,1023.00
22677081,110.10,1023.00
22682797,110.09,1023.00
22687845,110.33,1023.00
22697762,110.24,1023.00
22704883,110.34,1023.00
22710599,110.47,1023.00
22716316,110.19,1023.00
22722742,110.23,1022.00
22726870,110.10,1023.00
22729627,110.34,1022.00
22735344,110.34,1022.00
22740392,110.47,1022.00
22748899,110.30,1023.00
22756036,110.36,1022.00
22759697,110.18,1023.00
22766800,110.30,1023.00
22774589,110.18,1022.00
22782394,110.24,1022.00
22788829,110.38,1023.00
22797302,110.19,1023.00
22801430,110.39,1023.00
22805743,110.29,1023.00
22808484,110.48,1023.00
22813500,110.63,1023.00
22819233,110.47,1023.00
22827072,110.36,1023.00
22831200,110.44,1023.00
22832572,110.56,1023.00
22839007,110.45,1023.00
22844715,110.64,1023.00
22851117,110.48,1023.00
22858214,110.37,1021.00
22865284,110.41,1022.00
22871726,110.63,1023.00
22879519,110.34,1023.00
22884534,110.32,1023.00
22891655,110.54,1022.00
22896653,110.48,1022.00
22898726,110.63,1023.00
22902354,110.56,1023.00
22905097,110.74,1023.00
22910796,110.65,1021.00
22918585,110.73,1023.00
22921344,110.50,1023.00
22926359,110.46,1023.00
22928433,110.71,1022.00
22935553,110.69,1023.00
22941921,110.75,1023.00
22948992,110.65,1022.00
